,Crude oil production (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
India,35,33,30,30,35,38,36,37,36,36,36,36,38,38,39,37,38,39,38,39,42,43,42,42,41,41,40,40,39,38,35,-5.9,-0.1,
Indonesia,73,80,75,77,81,80,80,79,77,75,70,67,62,57,53,52,49,47,48,47,48,45,44,41,40,40,42,40,39,37,36,-4.2,-3.3,
Japan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-2.1,-2.1,
Malaysia,30,31,32,32,33,36,36,36,36,33,31,33,35,37,38,37,35,35,35,33,34,30,31,29,30,33,35,34,33,31,28,-10.5,-0.6,
South Korea,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-33.5,-2.3,
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.6,-13.2,
Thailand,3,3,4,4,4,4,5,6,6,6,8,8,9,11,11,13,14,15,16,16,17,17,19,19,19,19,20,19,19,19,17,-10.2,4.0,
Pacific,35,35,35,35,33,34,34,33,36,30,38,38,36,34,30,28,26,29,28,28,27,26,24,22,21,19,19,16,14,17,19,15.5,-3.3,
Australia,27,28,27,27,25,27,26,27,29,24,32,33,31,31,27,24,22,25,23,23,24,23,22,19,18,17,17,15,13,15,18,17.9,-2.8,
New Zealand,3,3,3,3,2,2,2,3,2,2,2,2,2,1,1,1,1,2,3,3,3,2,2,2,2,2,2,2,1,1,1,-14.0,-2.5,
Africa,320,334,338,337,339,348,366,382,382,374,387,387,387,420,457,477,488,500,501,483,498,423,455,419,398,394,369,389,395,400,356,-11.1,-0.4,
Algeria,58,57,57,57,56,57,60,61,62,64,68,67,71,79,83,86,86,86,84,78,74,72,68,65,69,68,69,67,66,66,60,-9.7,-0.6,
Egypt,45,45,46,48,46,47,45,44,43,42,36,35,35,36,33,32,32,33,35,34,35,34,34,34,35,35,32,32,31,31,29,-5.0,-1.0,
Nigeria,88,92,96,97,96,98,108,117,111,107,115,121,104,118,127,129,122,114,109,109,127,123,121,110,110,106,92,93,96,101,87,-14.3,-1.4,
South Africa,4,4,6,7,7,8,8,8,8,8,9,5,6,5,6,5,5,5,4,4,4,5,5,5,5,6,6,5,5,5,5,-0.6,-3.0,
Middle-East,845,841,931,985,991,1000,1005,1050,1104,1069,1135,1111,1042,1126,1193,1234,1245,1225,1269,1178,1207,1313,1320,1313,1321,1371,1500,1456,1466,1386,1264,-8.8,0.5,
Iran,164,172,187,196,194,197,194,193,194,191,199,191,189,208,211,220,223,226,223,212,214,212,159,159,162,161,214,220,207,146,133,-9.3,-2.0,
Kuwait,46,9,55,98,105,106,106,106,108,99,105,103,92,111,121,135,139,135,140,119,123,141,158,155,152,152,158,146,148,145,132,-9.0,1.1,
Saudi Arabia,342,435,446,440,428,430,434,429,441,406,436,423,389,458,490,514,506,486,507,457,461,520,547,536,541,565,584,556,574,547,508,-7.0,0.8,
United Arab Emirates,92,105,113,110,109,109,110,115,118,109,121,117,111,124,130,133,142,140,142,130,137,152,159,168,164,178,184,176,179,182,165,-9.1,1.6,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
